t_IDs;Y;AKN;ALPHAT;ALD;ALMAVE;AGREF;AGRE1;AGRE2;RAUTEFR;RQLCR;RAUTEFS;RQICRMIN;RQICRMAX;TFVL;TFVI;TFVR;TFVS;RKDN;RKDX;TENTR;TENTRX;VVN;VVX;ALFX;REFLCAPE;FNEBC;GCVTURB;RLWINHF_ICE;RLWINHF_LIQ;RSWINHF_ICE;RSWINHF_LIQ
SCM_1-001;1;0.175048681961761;1.48854437251381;1.44980515477364;15.5323790811701;-0.238846715553524;2.27091357610965;5.2354862461177;0.00699616510930471;0.000440766334761051;0.0039516327228824;6.90778308537945e-08;5.73473746434048e-05;0.118637194852099;0.0971649989264994;3.08615796207745;2.44612492568442;4.82340744362213e-05;0.0002617959471394;4.59908718784029e-06;9.11616035868181e-05;-3.14798074088991;-38.0830478079345;0.0710035650643287;6.73169149910115;14.2548487507117;6.26071310634259e-05;0.864952200373324;0.677901328788139;0.768798678809544;0.744990274258889
SCM_1-003;1;0.16768026160961;1.88015840214794;1.97322196526996;14.3576321061468;-0.250957195767046;4.86566404778666;7.35333211969119;0.00640569448404363;0.000641821695305756;0.00499852482053451;3.30693160279483e-07;6.15799087107531e-05;0.0546261739142293;0.151274792383259;3.87701343838102;3.13972909937822;4.96333351502195e-05;0.000470833521462139;6.94296720258271e-06;7.52270536152413e-05;-4.30129617020798;-32.742882127796;0.0567410605878104;4.81035051575303;12.8829914999815;7.38802517641569e-05;0.802851237211532;0.616178314776626;0.800513872343581;0.733551585920698
SCM_1-004;0;0.173486811517815;2.08663605967692;2.07060517204421;21.3387774780393;-0.278888892727889;2.64239326526877;4.22270906949416;0.00815250784282068;0.000210191719070775;0.00629591292731231;3.37349073451048e-07;3.8409802766478e-05;0.108131053153222;0.111874117817893;3.36084634858261;5.07432520544544;3.37028725911863e-05;0.000267003553131378;6.75273060494413e-06;7.12010349102784e-05;-3.44033318951726;-33.8808591650256;0.0749641985109386;6.22661552875086;3.64671837355321;7.70370712073054e-05;0.779811729548189;0.660804465429004;0.648203861309836;0.738744124093792
SCM_1-005;0;0.160020965051961;2.37083806707912;1.83585045300618;15.0601405515568;-0.301109122789923;5.39131090632485;3.78226012046604;0.00302275308697058;0.000393617154996881;0.00391881436156885;1.22644874107072e-07;6.30003500583892e-05;0.121064363139842;0.0642993373928095;4.28443422015035;1.97092717324345;3.58360907482915e-05;0.000285127743568985;5.85740366681789e-06;7.44174111781642e-05;-4.61125010395733;-35.1475080915067;0.0885270208125624;5.48698093457256;8.10417638338792;7.72960297406884e-05;0.906630853405998;0.754323970330491;0.828823110652932;0.746474828063898
SCM_1-006;1;0.13418561382705;1.72402906598484;1.55860626852955;8.4684880974004;-0.13441096751284;3.78508707988852;4.29938392829305;0.00623784540208833;0.000546105895054798;0.0071612610810316;1.00332895880987e-07;7.01742702127085e-05;0.115949180539652;0.128359993258351;3.34398795345721;2.75347014892482;4.20756915514823e-05;0.000370467114488066;3.35867352378244e-06;8.71422930039e-05;-2.63963025161996;-38.8102817871841;0.0426506379653855;7.47680337035703;11.5902952522505;6.33786941763246e-05;0.831459206679137;0.778509704742658;0.715348170945654;0.721524325300707
SCM_1-007;0;0.0899399789166326;1.68879066665152;1.35968817013199;15.1497824128019;-0.261029155985902;5.57173368586227;8.30561672712987;0.00539743368561729;0.000431278227817927;0.0045110670876309;1.07155184271481e-07;8.17162386137138e-05;0.119112686043912;0.138311134162378;1.95904754152809;2.33353307845211;4.31295075929724e-05;0.000278229262838978;6.97663362531612e-06;8.30313108507078e-05;-3.64545624185974;-35.8364816253694;0.0681892698809504;6.07460093293324;6.62986659811189;8.79220544919372e-05;0.84572913470678;0.781435758879331;0.72920294488819;0.549863491267897
SCM_1-008;0;0.155451286838437;1.51879121951642;1.81365375490471;10.9556092876941;-0.193976737663848;7.19706997878384;7.32480159428281;0.00502443450314458;0.000464431355168888;0.00730346754585742;1.47783679412636e-07;4.24074228242234e-05;0.143549770649344;0.0981513443984774;3.66764537966748;3.33328308148193;3.41469986130949e-05;0.000309763303294467;6.31583265472824e-06;0.000101652208205801;-3.10658131871062;-37.8156446563468;0.111742753721292;2.68989354277619;7.34839595815477;5.11827219788916e-05;0.883922876999714;0.812567156427928;0.703568485822373;0.950551744484886
SCM_1-011;0;0.18717847338249;1.70534203608598;1.11496936353894;4.63556001491379;-0.158832232863759;5.51790422440196;2.87104752960149;0.00646672176094803;0.00042315730790759;0.00991582058985407;1.74438322034618e-07;5.03217463570686e-05;0.0523631091828947;0.0638587068987894;1.7207649005705;1.74388980086;4.72012529181782e-05;0.000187988478319378;6.18788589149714e-06;7.32302530820947e-05;-3.37632217753679;-33.5144524210094;0.113822045404642;7.79209703684847;3.67161732111126;8.47282872008625e-05;0.74501295283786;0.72063259081721;0.856047327320169;0.892610096134401
SCM_1-012;1;0.122511893378509;1.73642054860635;1.66492636233646;16.1860059519298;-0.289846627877365;1.65344284093784;3.20675610533605;0.00643255819082183;0.000143190618365887;0.00467464565034645;3.01076783063818e-07;7.98662282455519e-05;0.0532986269728156;0.103455278047524;4.84821271627443;3.40388654430195;5.13497332897969e-05;0.000323920395453988;7.30444959175462e-06;5.30469145360636e-05;-2.83661582051466;-32.3938872667107;0.0655094290972066;4.72551355130024;17.2387942720049;5.06437590558315e-05;0.810301052108795;0.651767213944889;0.773940334233921;0.77050765973283
SCM_1-013;1;0.225560898510087;0.97396012051225;2.53019671710208;17.6553553112783;-0.180858290742206;3.55574832624601;6.56104251316283;0.00573600302846171;0.000540488923682909;0.00519345729686669;7.73946445856013e-08;3.44985328788015e-05;0.0771036151441101;0.104964183561783;0.7827279068192;2.70538386781475;4.61502312069293e-05;0.000227838120400254;6.49812540911138e-06;7.00595495095476e-05;-2.45827638724508;-33.0641012122117;0.0550703750540114;7.16838822934435;12.327390340281;5.86483823850518e-05;0.749879950550773;0.706037306758808;0.839475470805773;0.681345368063388
SCM_1-014;1;0.222520316332004;1.44031230821468;2.46135271081585;17.7885136411525;-0.383542581959597;5.34675447517075;6.98577325373578;0.00359687406633476;0.00036737144902496;0.0048382726541115;7.63275813244543e-08;2.97687703359756e-05;0.0820049098577296;0.0998889178208487;4.66537911363908;1.53047805553682;4.23408697747625e-05;0.000249801186937528;8.85953106191009e-06;5.82906592084793e-05;-3.65451360468132;-36.5838620664435;0.062216885604267;5.28628071623482;9.52038924180282;4.44071102771908e-05;0.545770996775245;0.948313375522072;0.793098804241745;0.924136527321534
SCM_1-015;0;0.236092145803509;1.37058850214623;2.44748135333648;17.0651946641039;-0.195032514161888;3.60694498522207;4.97826193016178;0.00457219606567407;0.00071235152228099;0.00264354061755274;2.51576261053568e-07;8.49935597558777e-05;0.105688797249373;0.101038049167922;3.63345133838632;2.52998808961331;2.79405810294207e-05;0.000325491902676132;5.53164291817074e-06;9.20709100410808e-05;-3.55656763439998;-38.5373457223371;0.101965689608113;1.80795849235433;10.6291032822492;2.91651091910433e-05;0.866174338198034;0.736743718496679;0.741071571212572;0.760759666843417
SCM_1-018;0;0.210815831914979;1.39437824146783;1.15513126446749;10.3047380700475;-0.229143806073225;4.05376253650368;3.24896670494539;0.00630761042345587;0.000768987430470646;0.00255265747251416;3.35790982545184e-08;5.35761124867558e-05;0.0706338042126425;0.0545922408469037;1.69978001299392;2.44004578125717;3.83138260559179e-05;0.000478253885722843;5.10801172581812e-06;5.80797971773194e-05;-3.14381383292067;-41.2778158804091;0.110200726914383;4.32929279509901;13.5768762086518;7.34609244621359e-05;0.712489184778727;0.674486412293045;0.963244047219632;0.552349149426833
SCM_1-019;1;0.220874234223428;1.35041834094445;1.2842429635115;10.7207317653345;-0.342713078385141;5.04879079539484;4.07192610540272;0.00441620690856013;0.000498393420781785;0.00486285415994236;2.81602951234278e-08;6.91686873920844e-05;0.00324560307564679;0.162867708145008;4.64478128555813;3.51466124668446;4.12796229817905e-05;0.000316079947939391;4.35291183613241e-06;0.00010469327390932;-3.24954253732227;-31.5386346680461;0.103941470752175;6.68766073341947;6.78806599387899;6.04881100140512e-05;0.729551663390594;0.666080750688755;0.933773326511728;0.633441623266554
SCM_1-023;0;0.134845097829914;1.28373901530285;1.12478593116199;14.2724380551372;-0.385680803425664;5.31641434199022;2.09781077235627;0.000594700022390656;0.000673586539632059;0.00720115876830067;5.04133076528171e-07;8.6888398966589e-05;0.144784349416861;0.0188172958176366;3.38857140533696;2.83724707767344;3.27073527292814e-05;0.000398985374968406;5.92534711174667e-06;4.89639681545785e-05;-3.39564898283531;-42.2712497758136;0.0578861768564054;4.0687220784508;11.9605473794819;6.40843652839773e-05;0.763261881033347;0.760108349523895;0.685415152535231;0.693737103536647
SCM_1-025;1;0.142648740881355;1.51234910260731;2.0972635586649;8.10869057304226;-0.224078267167346;8.07705813543095;5.75902925465101;0.00770778508523673;0.000785597279824588;0.00739528561343051;4.63599980323137e-08;6.10617568110931e-05;0.049217790754075;0.0937933457860382;3.48626495113721;1.15958173921316;3.76004516515881e-05;0.000252030716252079;5.82306221087153e-06;9.35485012718942e-05;-3.91317388627989;-36.2976464650322;0.0524151059069205;5.73628895250925;7.29575474727899;3.08052328994498e-05;0.687495736678829;0.870209090270801;0.675730814503816;0.637530049444176
SCM_1-028;0;0.161446983391776;2.63127259765364;2.13317337157011;9.57687569977716;-0.247903027173659;2.0202301038662;3.49406201386979;0.00279208414360221;0.000663494908648815;0.00638113629506202;1.68047610757268e-07;4.08082003266822e-05;0.0962511984891701;0.072462165298264;2.46633962641959;5.04709482077975;6.83255503863562e-05;0.000167049324471628;4.30928856008376e-06;9.61904807800194e-05;-2.26520609005354;-40.5082634130182;0.100884947792953;6.91013110828912;7.7014756063465;5.23784919116879e-05;0.894503035970653;0.726866732176471;0.747561244595175;0.615140473127831
SCM_1-029;1;0.204041191798355;1.58551415635544;1.78497296973558;15.264949466032;-0.129485239128225;6.83885949515582;4.62955437647179;0.00449976663124359;0.000126576322736995;0.00610604674197656;9.19254601441511e-07;6.58914969715794e-05;0.112970811161721;0.0567996321634141;2.23581172785334;2.11171882332621;5.18992938090116e-05;0.000270787632265097;5.27493367830291e-06;0.000106306126542203;-3.62584870716246;-35.648769013409;0.0777633430047582;7.77584105007739;15.4493533812774;7.4142989519774e-05;0.764999220090297;0.611928223497234;0.834043482652244;0.943710126875279
SCM_1-031;0;0.19998122359179;2.12354693671805;2.30142322936445;5.90355857070536;-0.171083748742496;6.52983039076595;6.4589752610152;0.00446638029562659;0.000711821817187864;0.00676591494251431;4.31520532528033e-08;7.38877083777838e-05;0.14643631383589;0.161861599060326;0.666135768844824;3.12033091459245;2.76001404482406e-05;0.000467685783814421;2.97761919005463e-06;9.81030162926763e-05;-1.6011900352221;-35.2083231791815;0.0380265806168007;5.86263120058427;5.05970668555237;5.22996876593446e-05;0.625704695712775;0.688796915410397;0.917421253889722;0.780766028548048
SCM_1-033;1;0.151299218419334;1.34961169222564;0.754832685684475;5.3787102062488;-0.12483231076117;4.91083645862527;7.23135839146562;0.00313858881618789;0.000760610537839006;0.00244766322475004;2.63875756765939e-07;3.11881551015656e-05;0.139831970594025;0.185093826411323;2.90291036744338;1.55649160634687;3.8713084312994e-05;0.000330729765528099;5.61904051605612e-06;8.48646070664283e-05;-4.02921912309403;-36.0645609245015;0.0638784328290727;6.20871237386779;11.6221771060955;2.62086392562371e-05;0.94811329968196;0.667138916608334;0.844986560505349;0.683252008129687
SCM_1-034;1;0.109934736819829;1.42535388976879;1.16074029124769;12.7986189978197;-0.23427561136897;3.34867807416401;8.35466812301117;0.00362819746238645;0.000195430836346738;0.00195595257367124;2.01484226116859e-07;3.282689483612e-05;0.0919185845878604;0.0451366380250074;4.26356533588236;1.87525679089051;3.1688067882834e-05;0.00027313210679985;5.64350625270978e-06;6.6329659165442e-05;-2.90248499699868;-44.6921234155113;0.12880715342788;8.34302262711168;11.8514441784626;7.66890682550846e-05;0.825189602334673;0.848406650049146;0.555356131486672;0.690526354356746
SCM_1-035;1;0.132128832412123;1.75135908202695;1.37277190207387;6.56037580478005;-0.328065340676772;0.48989438911279;8.02331382944249;0.00320638388808972;0.000689873351736421;0.00600178852009897;1.69397005893393e-07;5.50520112166065e-05;0.0685686158347658;0.111263161074255;1.21053576931303;1.31186532017139;3.56967733761761e-05;0.00051432073138558;5.38094780278082e-06;9.31574270483572e-05;-2.61080295129369;-32.8716675684166;0.0664173459212529;0.841433958205084;13.8981932165412;9.07492195511702e-05;0.563191829720745;0.57632465386414;0.933073102376269;0.755569688254036
SCM_1-036;1;0.141501217650017;0.807108922151383;1.89685001358545;22.3830872214632;-0.302543496184897;2.16701741817718;7.57850044607961;0.00627953746602871;0.000469380482059244;0.00755202819359605;1.90030981750408e-07;6.41442021015217e-05;0.1001488535232;0.139332645683101;4.78610169494719;1.45077900692619;4.70281699116807e-05;0.000276983822998715;8.98352355223149e-06;8.26245482763508e-05;-3.51484333807603;-42.6550869025135;0.0814077159859706;5.67123294051628;2.38710868774603;5.65582233026391e-05;0.933768175758111;0.725301914023391;0.690576594324472;0.893402627500085
SCM_1-038;1;0.207934754786454;1.66003252641531;1.49159356078987;15.8668990967795;-0.307186535076083;9.02213731479521;4.72209909853215;0.00239389210358379;0.000420084532860899;0.00669390055839205;1.32103104227174e-07;9.39940315541307e-05;0.0748333252680806;0.103912575022082;2.54335903444599;4.44617488975381;6.1325285085151e-05;0.000500406887612523;4.86841262434299e-06;0.000115250531604909;-2.95007701495662;-33.8315935405359;0.0504118772781687;2.21968559127829;8.53742635580711;6.96822080376325e-05;0.8600660104095;0.801049101150129;0.676979801144528;0.76806823855266
SCM_1-041;0;0.111569620389817;0.925304933299776;2.59500613176303;2.26118065356277;-0.332203475539099;5.71363772208182;9.00453352415934;0.00560405034985199;0.000523995285014855;0.00740408677820892;4.04753370115277e-07;5.68899419750785e-05;0.0805191608546341;0.125753897389462;4.9432275410778;4.10050000028537;4.14705002130475e-05;0.000406087726658924;6.08862228695924e-06;4.48070174152963e-05;-2.48299786522053;-45.8365253405451;0.0540119650967186;7.35657211249539;17.1318666623595;4.27608668495668e-05;0.726312984339117;0.623436300115427;0.972369003508939;0.658681913383771
SCM_1-042;0;0.263330447214749;1.1023093071417;2.17334354983759;6.39325066220481;-0.163027486258924;6.95167590044439;1.86082823155448;0.00335835291736876;0.000335834664607498;0.00287093241257593;3.30714870559964e-08;5.22674025329373e-05;0.145769740441277;0.0629566388280007;3.97143408320006;3.00938429551036;2.91665528210346e-05;0.000254695043573342;2.59554976375774e-06;6.58358196245972e-05;-3.71244055634985;-42.9473359799013;0.0833209547422128;5.19271584742935;4.73217975728524;5.02662076954497e-05;0.684117407307883;0.981660600462928;0.794198729085814;0.821662393759859
SCM_1-043;0;0.26762600311356;1.86899838454944;2.16318359047873;20.4419149206253;-0.0326296375660692;8.36248396759232;5.5894969521556;0.00608914258858771;0.000736957333924171;0.00807171134587455;1.70280200290297e-08;3.76989007557665e-05;0.107221670051449;0.131026538203748;5.30952120543054;2.90686908832798;3.29498189675156e-05;0.000488881106330547;6.33836652058487e-06;0.000104124292050744;-1.78482394393844;-40.3441722593076;0.0770588335901421;4.64024406232995;6.59342213285466;7.93882384854369e-05;0.693510967786424;0.675648353537545;0.637562299269872;0.643175923004746
SCM_1-046;1;0.172376141795128;1.64794652117028;0.96065631165014;13.1536642423598;-0.391437742126524;5.66245355492768;7.08774451225375;0.00962774588423121;0.000620346479830837;0.00514764120231732;6.37472012113727e-08;4.47824676204007e-05;0.170567152046746;0.0261765402615653;3.06727291056366;4.69210673330973;2.94030038579833e-05;0.000426026205821491;7.15216591265674e-06;5.99300962819951e-05;-3.04519574716066;-37.8905098891701;0.023851579249821;2.93719806721931;9.98124240458322;6.56116455343319e-05;0.990773713948826;0.796654389245668;0.588726910417511;0.595217983077358
SCM_1-048;1;0.179599406310606;1.79101608381801;2.93397239468759;10.6681105054915;-0.37618720171939;1.01243301678138;5.44371607684686;0.00344907858021325;0.000449798568890585;0.00679294638075594;3.18822441229797e-08;3.07075216493569e-05;0.124175798236734;0.195274917559574;4.81944065476465;0.618898925449466;3.66051961715333e-05;0.000388155271292695;6.57940767689919e-06;9.78118790726876e-05;-2.55859783451383;-29.4618537436084;0.0910279051331648;3.33271054519434;2.11120921787806;5.29922478502849e-05;0.7658931660365;0.876832300934087;0.944123486890458;0.786799730033381
SCM_1-050;0;0.257007264913324;1.79740153546833;1.67041588201149;25.3182281271089;-0.187872668908513;4.9467446336057;3.92413355635169;0.00275493064551071;0.000687684950864059;0.0040057656198092;3.38748250668023e-08;3.53117524672998e-05;0.150104741160274;0.0507643812574089;2.78687854759131;3.44131871571532;5.99490253455937e-05;9.44305612062725e-05;9.91218104043355e-06;7.14828716907883e-05;-2.05344733634653;-42.0471021196766;0.065973628496301;2.28078937082598;11.9089387706015;9.52019078737823e-05;0.814838050338828;0.748226417329085;0.831032665459594;0.669960899821017
SCM_1-052;0;0.150773732255648;0.829997365426971;2.66544099655972;10.4373539727647;-0.0849725497541328;2.82950584411932;2.34523297678679;0.00517770195784435;0.000257640529899936;0.00628669206111265;2.55122728627501e-07;2.91370542879527e-05;0.0655534001432367;0.0529829498703289;2.06133226636541;2.30230664367702;2.29061007142998e-05;0.00039841963196223;9.07350187416499e-06;5.16413998255273e-05;-4.52596698535606;-44.4903250961797;0.098469442039829;7.10220756173848;11.6773669366104;5.53279662250308e-05;0.686233716444112;0.653813751151708;0.979472103272177;0.874161194361514
SCM_1-054;1;0.194986134584652;0.79346393342906;1.62878482830517;27.8241712439805;-0.243072013702585;3.32488136570901;6.37420401974426;0.00323787874051059;0.000453041731812642;0.00758357216984033;2.60644477902715e-07;3.87994839148247e-05;0.0798538792850372;0.117186248337656;0.478207036096603;2.64375412711346;4.50062279662117e-05;0.000475554440439244;6.4394757363759e-06;9.69917939898558e-05;-3.8827607604644;-49.470966815153;0.0456972627860416;6.99225246162899;13.6697905686063;4.95366020463873e-05;0.695243440762861;0.713676997297443;0.6813480186443;0.57721173575342
SCM_1-056;1;0.154784494598815;2.56358541130709;1.78306996423441;24.2081667742692;-0.240353356469011;3.97733355698486;3.10909720031389;0.00338542269192287;0.000664637553663187;0.00527659310288378;2.86338132133223e-08;4.74750560547186e-05;0.0744080587997963;0.160410961740027;3.17120047413604;5.25032764239796;6.59761389286257e-05;0.000525350360857819;9.00194965551918e-06;6.03510852472857e-05;-1.91253633045902;-34.4409594194731;0.10147544475835;1.52334222438621;4.99536908920854;3.36983607243048e-05;0.801045574846988;0.69076097325189;0.714728504446102;0.610786521091747
SCM_1-057;1;0.205856883024735;1.97764956865964;2.96410457010303;18.2569741884712;-0.312183119938173;8.87068327046775;3.63566072112881;0.00224275145699697;0.000796873520800301;0.00564378033752359;9.35643311209654e-07;3.56095535711424e-05;0.109653714389071;0.0682855690956845;5.58452032260736;0.492664029205684;4.18202831449453e-05;0.000321157980216046;7.49288238920892e-06;0.000116019822712569;-4.11909352820677;-45.6987164055657;0.0871876867995132;5.19847142164875;16.2030108433682;3.94580183737678e-05;0.751489292966047;0.955589696835183;0.742295841179633;0.632026383366901
SCM_1-060;1;0.140453912775669;0.683153526386013;2.63216246245817;16.3247466645204;-0.0393540721841622;4.71411371512804;0.131991291767918;0.00486899510007274;0.000481975835069277;0.00337899721980405;6.07778239168937e-07;1.26720611019021e-05;0.180266759170547;0.167016268320814;2.772378822973;4.27058041173049;4.44439646055922e-05;0.000229187405413824;4.28331039043143e-06;5.42802709497046e-05;-2.80025560463779;-39.1612926208957;0.119325546708967;6.94787199334738;6.80461952812038;5.48666758724954e-05;0.702890595429732;0.581245867213001;0.611239697290196;0.631637367810666
SCM_1-064;1;0.107768188199184;1.07688160862308;1.97892988493162;18.4810239432147;-0.334877544631219;6.56244276720099;8.49448807997008;0.00512403899903099;0.000646754988944236;0.00477018293339992;1.53040720106185e-07;4.66089291308774e-05;0.124625069269518;0.08801377946877;4.63303334024921;1.68125337017902;5.40310967280529e-05;0.000135157806099579;3.12971343887349e-06;8.60995132758748e-05;-2.62201349611084;-43.6309114398124;0.0903422914246563;3.03611015615612;11.3060932722874;8.42032416090369e-05;0.55507987624694;0.710472430069543;0.936519020720928;0.881214117641405
SCM_1-074;0;0.176911370928958;1.59463289463699;2.4821830782205;24.1699334260775;-0.285635827667398;5.14292270138394;1.64023575701285;0.00385314821777438;0.000288290984719254;0.000987899659782803;2.78213599093478e-07;8.79819776709968e-05;0.130040258896183;0.086038400488641;5.4394373992229;3.70561157441318;2.58757066173479e-05;0.000144447739701687;7.31773231595755e-06;5.07445724837249e-05;-3.53036829859639;-40.0062752040297;0.0156413196939509;9.66928247996482;10.6915061459721;4.3043102140259e-05;0.879459364901995;0.922043346868595;0.709707545109947;0.94500439286426
SCM_1-076;0;0.243718900206126;1.15416184438315;2.75630372316033;10.1896281609312;-0.305183432992618;6.61663536364989;5.3980872193041;0.00778358747550092;0.0001978633431807;0.00828685487173071;3.04754289181688e-07;9.06695982711584e-05;0.117995723530092;0.0737018210840241;2.60604306029715;3.2942088441089;6.19281580029056e-05;0.000422782956494329;6.91748752805715e-06;7.69679012543522e-05;-4.12775352355093;-30.8078038044041;0.12465973516906;9.47779748741103;18.5261746425647;6.16099321338581e-05;0.689657955649309;0.951049161892928;0.692333132564478;0.665983296129076
SCM_1-078;0;0.196706443276287;1.14685599583512;1.45094408002333;7.30525835948065;-0.227797396712083;6.23455527334785;2.55462686740793;0.00156199185030768;0.000281598502491601;0.00373829454191999;2.24610152702766e-08;4.11854998453947e-05;0.131336584157345;0.156290595573487;1.4440037517404;3.76235724879002;2.45982062128372e-05;0.000180968963795155;2.24946316367015e-06;4.72391984289978e-05;-1.38618446425224;-34.0193286600988;0.0307237883734051;1.75513880110765;5.26877339940208;8.94167141377926e-05;0.77156659555117;0.593302848577732;0.860661853215424;0.587753312186493
SCM_1-079;0;0.0996902192668524;2.14876885443809;0.952430768545795;22.4444188894471;-0.429544725608841;6.09317527050152;4.11663767991122;0.00922116498084855;0.000140708276216872;0.00367142115736303;1.16792235420411e-07;4.71242005402572e-05;0.0237221140117757;0.0796839117092011;2.69817033258818;1.25396251398294;6.71503564977553e-05;0.000159310818632133;6.78900179716448e-06;6.4580632093898e-05;-4.50270232519445;-38.4108166692895;0.138435064940644;3.46516929873809;14.5908149982803;2.07790486230515e-05;0.769015095951812;0.775745314381008;0.784380022227221;0.93785395108629
SCM_1-082;1;0.0708512295808798;2.34388280945132;1.41600208453407;15.4749929847429;-0.149406025878961;5.45265868083419;4.51528237351061;0.00759564745749502;0.000998503351512598;0.00657854597663623;4.02491179451116e-08;7.8437730770659e-05;0.185472784338328;0.133162668600611;4.06403559238836;4.90621382281603;1.65600371250417e-05;0.000328441215232635;4.65241487448414e-06;7.04783761357656e-05;-4.45488169808872;-36.9882539544293;0.0125976841376706;3.60936056973475;14.1466196623476;9.89520726311952e-05;0.797125215709287;0.556395101139399;0.902143166762932;0.910304708490536
SCM_1-084;1;0.264259859015389;0.863642214574308;1.80404685959026;23.6003586946055;-0.232400487330913;8.37797225612837;6.03381685365457;0.00334557706042736;0.000654874784819433;0.00395822270034036;1.25088633512675e-07;5.76067436757381e-05;0.194285476912547;0.0660561376317614;3.46315563329907;0.733670151414816;5.50225083719473e-05;0.000456471302318045;6.7436626570113e-06;8.32445300009334e-05;-2.67182247287283;-28.7077750330209;0.0968340340745014;2.47039497935462;3.21194546658856;1.40696062468225e-05;0.817538345592717;0.82653274572726;0.655357391315823;0.871894489811578
SCM_1-087;1;0.215460331573555;1.83857729460578;2.86156975189224;27.6807201332646;-0.263127861478133;1.20719122019752;0.927373043036399;0.00146017655328227;0.000756651951539796;0.00312658372104711;5.54724593488891e-07;5.01923592556152e-05;0.0225582291467348;0.0483498515908063;0.976733902693105;0.69024617807637;4.7911822394561e-05;0.000221530184102027;7.17697033490986e-06;3.90823723646812e-05;-4.18442228264486;-30.24914465313;0.0174441610605146;2.44018165492639;5.71740698662276;4.0534068764234e-05;0.649099907537457;0.816052007669738;0.678724502857076;0.845397909231251
SCM_1-088;0;0.229595488483769;1.80802198082286;0.659323154061955;27.0957811759086;-0.080604269365524;7.27678772829628;7.46569205726652;0.00895967452550928;0.000988710579711439;0.001476323839882;3.57257061711583e-08;4.56986478850323e-05;0.0291909121573251;0.0607480214206052;1.62895431868336;2.17716295743159;2.61460719676688e-05;0.000364880961843642;8.82849740155662e-06;6.814607217866e-05;-1.06137369631169;-35.7663568632949;0.0630671389668016;5.0841204845064;19.1752652661564;5.79082234086003e-05;0.717359747985223;0.910236501153558;0.786591424597039;0.730287456501974
